strike,0.08,0.17,0.25,0.33,0.42,0.5,1,2,3
15.7,0.322,0.293,0.291,0.295,0.297,0.298,0.299,0.306,0.3062
16.49,0.32,0.291,0.289,0.293,0.294,0.294,0.296,0.306,0.3063
17.27,0.336,0.293,0.29,0.293,0.293,0.293,0.293,0.306,0.3059
18.06,0.35,0.297,0.294,0.295,0.294,0.293,0.293,0.305,0.3046
18.84,0.35,0.307,0.302,0.299,0.297,0.295,0.292,0.303,0.3034
19.63,0.35,0.31,0.305,0.302,0.299,0.297,0.291,0.302,0.3022
20.41,0.35,0.31,0.307,0.306,0.304,0.3,0.291,0.299,0.2989
21.2,0.35,0.31,0.309,0.312,0.31,0.304,0.291,0.294,0.2938
21.98,0.35,0.31,0.31,0.314,0.313,0.307,0.292,0.289,0.2888
22.77,0.35,0.31,0.31,0.314,0.314,0.308,0.294,0.289,0.289
23.55,0.35,0.31,0.31,0.314,0.315,0.311,0.296,0.289,0.2894
24.34,0.352,0.31,0.31,0.314,0.311,0.312,0.298,0.29,0.2898
25.12,0.352,0.31,0.31,0.314,0.315,0.312,0.299,0.29,0.2901
